lang,lang_abv,simplifiedName,commonName,avgHueColor,cnt
"French (français, langue française)",fr,orange,orange,"rgb(255, 137, 0)",161
"French (français, langue française)",fr,jaune,jaune,"rgb(255, 236, 0)",132
"French (français, langue française)",fr,rouge,rouge,"rgb(255, 0, 38)",131
"French (français, langue française)",fr,violet,violet,"rgb(205, 0, 255)",129
"French (français, langue française)",fr,rose,rose,"rgb(255, 0, 172)",110
"French (français, langue française)",fr,turquoise,turquoise,"rgb(0, 255, 228)",59
"French (français, langue française)",fr,fuchsia,fushia,"rgb(255, 0, 182)",59
"French (français, langue française)",fr,bleuciel,bleu ciel,"rgb(0, 197, 255)",52
"French (français, langue française)",fr,magenta,magenta,"rgb(255, 0, 163)",41
"French (français, langue française)",fr,bleuclair,bleu clair,"rgb(0, 201, 255)",38
"French (français, langue française)",fr,bleumarine,bleu marine,"rgb(0, 81, 255)",36
"French (français, langue française)",fr,mauve,mauve,"rgb(196, 0, 255)",34
"French (français, langue française)",fr,cyan,cyan,"rgb(0, 239, 255)",33
"French (français, langue française)",fr,vertpomme,vert pomme,"rgb(108, 255, 0)",23
"French (français, langue française)",fr,vertclair,vert clair,"rgb(0, 255, 23)",22
"French (français, langue française)",fr,bleufonce,bleu foncé,"rgb(0, 85, 255)",19
"French (français, langue française)",fr,vertfluo,vert fluo,"rgb(98, 255, 0)",17
"French (français, langue française)",fr,vertd'eau,vert d'eau,"rgb(0, 255, 176)",16
"French (français, langue française)",fr,bleuroi,bleu roi,"rgb(0, 75, 255)",15
"French (français, langue française)",fr,bleuroyal,bleu royal,"rgb(0, 63, 255)",14
"French (français, langue française)",fr,bleuturquoise,bleu turquoise,"rgb(0, 240, 255)",14
"French (français, langue française)",fr,rosefuchsia,rose fushia,"rgb(255, 0, 176)",14
"French (français, langue française)",fr,vertlime,vert lime,"rgb(127, 255, 0)",13
"French (français, langue française)",fr,rosefonce,rose foncé,"rgb(255, 0, 139)",12
"French (français, langue française)",fr,bleucyan,bleu cyan,"rgb(0, 224, 255)",12
"French (français, langue française)",fr,azur,azur,"rgb(0, 173, 255)",11
"French (français, langue française)",fr,indigo,indigo,"rgb(0, 63, 255)",11
"French (français, langue française)",fr,jaunefluo,jaune fluo,"rgb(220, 255, 0)",10
"French (français, langue française)",fr,jaunevert,jaune vert,"rgb(196, 255, 0)",10
"French (français, langue française)",fr,pourpre,pourpre,"rgb(255, 0, 241)",10
"French (français, langue française)",fr,vertneon,vert néon,"rgb(0, 255, 64)",10
"French (français, langue française)",fr,jauneorange,jaune orangé,"rgb(255, 198, 0)",9
"French (français, langue française)",fr,rougerose,rouge rose,"rgb(255, 0, 89)",9
"French (français, langue française)",fr,orangefonce,orange foncé,"rgb(255, 97, 0)",9
"French (français, langue française)",fr,bleuvert,bleu vert,"rgb(0, 255, 204)",8
German (Deutsch),de,blau,blau,"rgb(0, 120, 255)",299
German (Deutsch),de,orange,orange,"rgb(255, 142, 0)",207
German (Deutsch),de,pink,pink,"rgb(255, 0, 172)",180
German (Deutsch),de,grun,grün,"rgb(0, 255, 58)",179
German (Deutsch),de,rot,rot,"rgb(255, 0, 36)",174
German (Deutsch),de,lila,lila,"rgb(207, 0, 255)",146
German (Deutsch),de,turkis,türkis,"rgb(0, 255, 229)",139
German (Deutsch),de,gelb,gelb,"rgb(255, 238, 0)",136
German (Deutsch),de,hellblau,hellblau,"rgb(0, 206, 255)",128
German (Deutsch),de,hellgrun,hellgrün,"rgb(0, 255, 41)",85
German (Deutsch),de,dunkelblau,dunkelblau,"rgb(0, 55, 255)",69
German (Deutsch),de,magenta,magenta,"rgb(255, 0, 175)",57
German (Deutsch),de,himmelblau,himmelblau,"rgb(0, 173, 255)",37
German (Deutsch),de,neongrun,neongrün,"rgb(0, 255, 15)",37
German (Deutsch),de,rosa,rosa,"rgb(255, 0, 171)",32
German (Deutsch),de,violett,violett,"rgb(184, 0, 255)",29
German (Deutsch),de,konigsblau,königsblau,"rgb(0, 56, 255)",19
German (Deutsch),de,gelbgrun,gelbgrün,"rgb(196, 255, 0)",18
German (Deutsch),de,mittelblau,mittelblau,"rgb(0, 129, 255)",17
German (Deutsch),de,giftgrun,giftgrün,"rgb(102, 255, 0)",16
German (Deutsch),de,dunkelorange,dunkelorange,"rgb(255, 109, 0)",15
German (Deutsch),de,dunkelgelb,dunkelgelb,"rgb(255, 205, 0)",12
German (Deutsch),de,grungelb,grüngelb,"rgb(188, 255, 0)",11
German (Deutsch),de,marineblau,marineblau,"rgb(0, 59, 255)",11
German (Deutsch),de,mint,mint,"rgb(0, 255, 195)",9
German (Deutsch),de,turkisgrun,türkisgrün,"rgb(0, 255, 170)",9
German (Deutsch),de,neonblau,neonblau,"rgb(0, 217, 255)",9
